"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","lifespan","avg_order_value","avg_monthly_spend"
1,"AW00011000","Jon Yang","53","50 and above","VIP","2013-05-03","143","3","123735","120","8","27","41245","4582.7777777777777778"
2,"AW00011001","Eugene Huang","48","40-49","VIP","2013-12-10","136","3","95760","165","10","34","31920","2816.4705882352941176"
3,"AW00011002","Ruben Torres","54","50 and above","VIP","2013-02-23","146","3","121710","60","4","25","40570","4868.4000000000000000"
4,"AW00011003","Christy Zhu","51","50 and above","VIP","2013-05-10","143","3","122085","135","9","28","40695","4360.1785714285714286"
5,"AW00011004","Elizabeth Johnson","45","40-49","VIP","2013-05-01","143","3","122940","90","6","27","40980","4553.3333333333333333"
6,"AW00011005","Julio Ruiz","48","40-49","VIP","2013-05-02","143","3","121815","90","6","28","40605","4350.5357142857142857"
7,"AW00011006","Janet Alvarez","48","40-49","VIP","2013-05-14","143","3","121785","75","5","27","40595","4510.5555555555555556"
8,"AW00011007","Marco Mehta","55","50 and above","VIP","2013-03-19","145","3","123165","120","8","26","41055","4737.1153846153846154"
9,"AW00011008","Rob Verhoff","49","40-49","VIP","2013-03-02","145","3","121590","105","7","25","40530","4863.6000000000000000"
10,"AW00011009","Shannon Carlson","55","50 and above","VIP","2013-05-09","143","3","121365","75","5","27","40455","4495.0000000000000000"
11,"AW00011010","Jacquelyn Suarez","55","50 and above","VIP","2013-05-23","143","3","121320","60","4","28","40440","4332.8571428571428571"
12,"AW00011011","Curtis Lu","55","50 and above","VIP","2013-03-19","145","3","121995","60","4","26","40665","4692.1153846153846154"
13,"AW00011012","Lauren Walker","46","40-49","New","2013-10-15","138","2","1215","75","5","6","607","202.5000000000000000"
14,"AW00011013","Ian Jenkins","45","40-49","New","2014-01-21","135","2","1710","75","5","9","855","190.0000000000000000"
15,"AW00011014","Sydney Bennett","51","50 and above","New","2013-04-30","144","2","2070","90","5","1","1035","2070.0000000000000000"
16,"AW00011015","Chloe Young","40","40-49","New","2013-01-18","147","1","37515","45","3","0","37515","37515"
17,"AW00011016","Wyatt Hill","40","40-49","New","2013-02-09","146","1","34980","45","3","0","34980","34980"
18,"AW00011017","Shannon Wang","75","50 and above","VIP","2013-10-14","138","3","96510","60","4","33","32170","2924.5454545454545455"
19,"AW00011018","Clarence Rai","69","50 and above","VIP","2013-10-24","138","3","97995","105","7","33","32665","2969.5454545454545455"
20,"AW00011019","Luke Lal","41","40-49","New","2014-01-12","135","17","13200","495","20","11","776","1200.0000000000000000"
21,"AW00011020","Jordan King","41","40-49","New","2012-12-29","148","1","34755","30","2","0","34755","34755"
22,"AW00011021","Destiny Wilson","41","40-49","New","2013-01-23","147","1","35580","45","3","0","35580","35580"
23,"AW00011022","Ethan Zhang","41","40-49","New","2013-01-20","147","1","34830","30","2","0","34830","34830"
24,"AW00011023","Seth Edwards","41","40-49","New","2014-01-14","135","2","1830","90","6","10","915","183.0000000000000000"
25,"AW00011024","Russell Xie","41","40-49","New","2013-07-26","141","2","840","90","5","0","420","840"
26,"AW00011025","Alejandro Beck","73","50 and above","VIP","2013-10-25","138","3","98655","90","6","33","32885","2989.5454545454545455"
27,"AW00011026","Harold Sai","73","50 and above","VIP","2013-10-15","138","3","98625","105","7","32","32875","3082.0312500000000000"
28,"AW00011027","Jessie Zhao","72","50 and above","VIP","2013-10-24","138","3","98865","135","9","33","32955","2995.9090909090909091"
29,"AW00011028","Jill Jimenez","73","50 and above","VIP","2013-10-07","138","3","97110","75","5","32","32370","3034.6875000000000000"
30,"AW00011029","Jimmy Moreno","72","50 and above","VIP","2013-11-11","137","3","98475","105","7","33","32825","2984.0909090909090909"
31,"AW00011030","Bethany Yuan","67","50 and above","VIP","2013-11-09","137","3","97065","60","4","33","32355","2941.3636363636363636"
32,"AW00011031","Theresa Ramos","72","50 and above","VIP","2013-11-13","137","3","97170","90","6","33","32390","2944.5454545454545455"
33,"AW00011032","Denise Stone","72","50 and above","VIP","2013-11-08","137","3","97875","150","10","32","32625","3058.5937500000000000"
34,"AW00011033","Jaime Nath","66","50 and above","VIP","2013-11-05","137","3","97425","105","7","32","32475","3044.5312500000000000"
